2025-05-08 15:25:12,340 - root - INFO - Overwatch Aim Assist started
2025-05-08 15:25:15,317 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.2910283, 'position': {'x': 196, 'y': 39}, 'area': 54.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,366 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3491502, 'position': {'x': 47, 'y': 130}, 'area': 244.0, 'mouse_position': {'x': 960, 'y': 537}}
2025-05-08 15:25:15,368 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3491502, 'position': {'x': 220, 'y': 128}, 'area': 100.5, 'mouse_position': {'x': 960, 'y': 537}}
2025-05-08 15:25:15,369 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3491502, 'position': {'x': 16, 'y': 47}, 'area': 62.0, 'mouse_position': {'x': 960, 'y': 537}}
2025-05-08 15:25:15,392 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3820553, 'position': {'x': 46, 'y': 128}, 'area': 242.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,393 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3820553, 'position': {'x': 218, 'y': 123}, 'area': 97.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,419 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3978293, 'position': {'x': 48, 'y': 128}, 'area': 248.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,422 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3978293, 'position': {'x': 220, 'y': 123}, 'area': 105.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,423 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.3978293, 'position': {'x': 196, 'y': 33}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,445 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.4302034, 'position': {'x': 48, 'y': 128}, 'area': 250.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,446 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.4302034, 'position': {'x': 220, 'y': 123}, 'area': 101.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,447 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.4302034, 'position': {'x': 196, 'y': 33}, 'area': 54.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,449 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.4302034, 'current_position': {'x': 48, 'y': 128}, 'predicted_position': {'x': 48, 'y': 128}, 'velocity': {'x': 0, 'y': 0}}
2025-05-08 15:25:15,450 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.4302034, 'target_position': {'x': 48, 'y': 128}, 'crosshair_offset': {'x': -80, 'y': 30}, 'target_area': 250.0}
2025-05-08 15:25:15,458 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.4302034, 'target_position': {'x': 48, 'y': 128}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 250.0}
2025-05-08 15:25:15,486 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.4741583, 'position': {'x': 60, 'y': 139}, 'area': 240.0, 'mouse_position': {'x': 955, 'y': 534}}
2025-05-08 15:25:15,487 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.4741583, 'position': {'x': 235, 'y': 132}, 'area': 93.0, 'mouse_position': {'x': 955, 'y': 534}}
